room_type,bathrooms_text,bedrooms,price
Private room,1 private bath,1.0,$444.00
Hotel room,1 private bath,1.0,$270.00
Entire home/apt,1 bath,2.0,"$2,850.00"
Shared room,0 shared baths,1.0,$186.00
Private room,1 private bath,1.0,$550.00
Private room,1 private bath,1.0,$446.00
Entire home/apt,1 bath,3.0,"$1,429.00"
Private room,1 bath,1.0,$896.00
Entire home/apt,1 bath,,$508.00
Entire home/apt,1 bath,1.0,$654.00
Entire home/apt,1.5 baths,2.0,"$1,509.00"
Private room,1 private bath,2.0,$600.00
Private room,1 private bath,1.0,$555.00
Hotel room,1 private bath,1.0,$497.00
Private room,1 private bath,1.0,$684.00
Private room,1 private bath,1.0,$476.00
Private room,1 private bath,1.0,$444.00
Private room,1 bath,1.0,$400.00
Private room,1 bath,1.0,"$1,285.00"
Private room,1 private bath,1.0,$497.00
Entire home/apt,1.5 baths,,"$1,336.00"
Entire home/apt,1.5 baths,2.0,"$1,608.00"
Hotel room,1 private bath,1.0,$497.00
Private room,1 bath,1.0,$343.00
Private room,1 bath,1.0,$836.00
Entire home/apt,2 baths,3.0,"$1,600.00"
Entire home/apt,1 bath,1.0,$144.00
Entire home/apt,1 bath,1.0,$314.00
Entire home/apt,1 bath,1.0,$286.00
Private room,1 bath,1.0,$236.00
Private room,1 bath,1.0,$693.00
Private room,1 bath,1.0,$493.00
Private room,1 bath,1.0,$586.00
Private room,1 bath,1.0,$414.00
Entire home/apt,1 bath,2.0,$935.00
Entire home/apt,2 baths,3.0,"$1,343.00"
Private room,1 bath,1.0,$281.00
Entire home/apt,1 bath,,$594.00
Private room,1 private bath,1.0,$423.00
Entire home/apt,1 bath,,$380.00
Entire home/apt,1 bath,1.0,$402.00
Entire home/apt,1 bath,,$446.00
Entire home/apt,1 bath,1.0,$899.00
Private room,1.5 baths,1.0,$664.00
Hotel room,1 private bath,1.0,$514.00
Private room,1 bath,1.0,$700.00
Private room,1 shared bath,1.0,$428.00
Entire home/apt,2 baths,3.0,"$2,093.00"
Private room,1 private bath,1.0,"$1,115.00"
Private room,1 shared bath,1.0,"$1,115.00"
Private room,1 private bath,1.0,$391.00
Private room,1.5 baths,1.0,$517.00
Private room,1 private bath,1.0,$800.00
Private room,1 private bath,1.0,"$1,000.00"
Private room,1 private bath,1.0,"$1,000.00"
Private room,1 private bath,1.0,"$1,000.00"
Private room,1 private bath,1.0,"$1,000.00"
