id,listing_url,neighbourhood,neighbourhood_cleansed,latitude,longitude,accommodates,price,review_scores_value,review_scores_location,review_scores_rating,review_scores_accuracy,review_scores_communication
1187498,https://www.airbnb.com/rooms/1187498,,Central & Western,22.28564,114.14785,1,$180.00,3.0,3.5,3.5,2.0,3.5
1187557,https://www.airbnb.com/rooms/1187557,,Central & Western,22.2845,114.12888,1,$180.00,,,,,
1187738,https://www.airbnb.com/rooms/1187738,,Sham Shui Po,22.33247,114.16271,2,$217.00,,,,,
1187739,https://www.airbnb.com/rooms/1187739,,Sham Shui Po,22.3323,114.16243,1,$180.00,,,,,
1187770,https://www.airbnb.com/rooms/1187770,,Yau Tsim Mong,22.31447,114.17082,1,$180.00,,,,,
1226450,https://www.airbnb.com/rooms/1226450,"Sheung Wan, Hong Kong",Central & Western,22.28796,114.14945,1,$180.00,3.0,5.0,2.0,3.0,1.0
1229848,https://www.airbnb.com/rooms/1229848,"Stanley, Hong Kong",Southern,22.21892,114.21369,4,"$1,000.00",4.23,5.0,4.47,4.53,4.8
1312023,https://www.airbnb.com/rooms/1312023,,Yau Tsim Mong,22.31214,114.17227,1,$620.00,,,,,
1476913,https://www.airbnb.com/rooms/1476913,"Hong Kong Island, 香港, Hong Kong",Wan Chai,22.27834,114.17437,3,$564.00,4.0,4.44,4.11,4.56,4.67
1534018,https://www.airbnb.com/rooms/1534018,"Sai Wan, Hong Kong Island, Hong Kong",Central & Western,22.28611,114.13637,1,$750.00,3.0,3.0,4.0,5.0,5.0
1591100,https://www.airbnb.com/rooms/1591100,,Central & Western,22.28725,114.14153,2,"$1,094.00",4.5,4.75,4.75,4.75,4.75
1623311,https://www.airbnb.com/rooms/1623311,"Central, Hong Kong, Hong Kong",Central & Western,22.28115,114.15348,2,$800.00,4.83,5.0,5.0,4.83,5.0
1642196,https://www.airbnb.com/rooms/1642196,,Eastern,22.28934,114.21915,6,"$2,000.00",,,,,
1643979,https://www.airbnb.com/rooms/1643979,,Wan Chai,22.27814,114.1701,7,"$2,323.00",4.4,4.6,4.6,4.54,4.85
1708543,https://www.airbnb.com/rooms/1708543,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western,22.28203,114.15223,2,$960.00,4.67,5.0,4.33,4.33,5.0
1745925,https://www.airbnb.com/rooms/1745925,,Yau Tsim Mong,22.31467,114.16983,2,"$2,000.00",4.66,4.84,4.62,4.73,4.88
1749208,https://www.airbnb.com/rooms/1749208,,Yau Tsim Mong,22.31248,114.16904,2,"$1,286.00",4.63,4.75,4.55,4.65,4.83
1752310,https://www.airbnb.com/rooms/1752310,,Wan Chai,22.27547,114.17369,2,$716.00,4.61,4.9,4.71,4.77,4.79
1774268,https://www.airbnb.com/rooms/1774268,,Yuen Long,22.48134,114.05844,4,"$1,000.00",,,,,
1796187,https://www.airbnb.com/rooms/1796187,"Hong Kong, Hong Kong Island, Hong Kong",Southern,22.2307536,114.2510366,1,$600.00,4.47,4.75,4.58,4.72,4.75
1800060,https://www.airbnb.com/rooms/1800060,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western,22.27987,114.15639,6,"$4,677.00",4.64,4.71,4.57,4.86,4.79
1887852,https://www.airbnb.com/rooms/1887852,,Central & Western,22.28115,114.15777,2,$217.00,3.5,5.0,4.5,4.5,4.0
1910193,https://www.airbnb.com/rooms/1910193,,Eastern,22.28853,114.19887,1,$180.00,3.0,5.0,2.0,2.0,2.0
1922220,https://www.airbnb.com/rooms/1922220,,Central & Western,22.28335,114.15275,3,$647.00,4.47,4.81,4.52,4.59,4.69
