,Rt,Bt,bedrooms,price
0,Entire home/apt,1,2,930.0
1,Private room,1,1,351.0
2,Entire home/apt,1,1,709.0
3,Shared room,8,1,180.0
4,Private room,1,1,180.0
5,Private room,1,1,180.0
7,Private room,1,1,180.0
9,Entire home/apt,1,1,702.0
10,Private room,1,1,180.0
12,Private room,1,1,180.0
13,Private room,1,1,180.0
15,Private room,1,1,180.0
16,Private room,1,1,180.0
18,Private room,1,1,217.0
20,Private room,1,1,180.0
22,Private room,1,1,620.0
23,Entire home/apt,1,1,564.0
24,Private room,1,1,750.0
25,Entire home/apt,1,1,800.0
26,Entire home/apt,1,1,600.0
27,Private room,1,1,217.0
28,Private room,1,1,180.0
29,Private room,1,1,180.0
30,Private room,1,1,180.0
31,Private room,1,1,180.0
32,Entire home/apt,1,2,835.0
33,Private room,1,1,800.0
34,Private room,1,1,850.0
35,Private room,1,1,950.0
36,Private room,1,1,217.0
37,Private room,1,1,297.0
38,Private room,1,1,180.0
39,Private room,1,1,650.0
40,Private room,1,1,900.0
41,Private room,1,1,180.0
42,Entire home/apt,1,2,580.0
43,Private room,1,1,180.0
44,Private room,1,1,180.0
45,Entire home/apt,1,1,283.0
46,Private room,1,1,217.0
47,Entire home/apt,1,2,499.0
48,Entire home/apt,1,2,464.0
49,Private room,1,1,180.0
50,Private room,1,1,180.0
51,Private room,1,1,180.0
52,Private room,2,2,500.0
53,Private room,15,1,280.0
54,Entire home/apt,1,2,857.0
55,Private room,1,1,700.0
56,Private room,1,1,968.0
57,Private room,1,1,180.0
58,Private room,1,1,180.0
59,Private room,1,1,180.0
60,Private room,1,1,180.0
61,Private room,1,1,180.0
62,Private room,1,1,480.0
63,Private room,1,1,130.0
64,Private room,1,1,180.0
65,Private room,1,1,180.0
66,Private room,1,1,180.0
67,Private room,1,1,350.0
68,Private room,1,1,600.0
69,Entire home/apt,1,2,799.0
70,Entire home/apt,1,1,531.0
71,Private room,1,1,238.0
72,Private room,15,1,300.0
73,Private room,1,1,600.0
74,Private room,1,1,238.0
75,Private room,1,1,261.0
76,Private room,1,1,240.0
77,Private room,1,1,299.0
78,Private room,1,1,240.0
79,Private room,1,1,259.0
80,Private room,1,1,238.0
81,Private room,1,1,285.0
82,Private room,1,1,240.0
83,Hotel room,35,1,236.0
84,Entire home/apt,1,1,608.0
85,Private room,1,1,236.0
86,Private room,1,1,466.0
87,Private room,1,1,500.0
88,Private room,15,1,700.0
89,Private room,1,1,800.0
90,Private room,1,1,476.0
91,Private room,1,1,641.0
92,Private room,1,1,635.0
93,Entire home/apt,15,1,250.0
94,Entire home/apt,15,1,250.0
95,Private room,1,1,364.0
96,Private room,1,1,883.0
97,Private room,1,1,600.0
98,Private room,1,1,627.0
99,Entire home/apt,1,1,576.0
100,Private room,1,1,666.0
101,Private room,1,1,452.0
102,Private room,1,1,347.0
103,Private room,1,1,529.0
104,Entire home/apt,1,2,550.0
105,Private room,1,1,360.0
106,Private room,1,1,980.0
107,Private room,1,1,400.0
108,Private room,1,1,375.0
109,Private room,1,1,188.0
110,Private room,1,1,444.0
111,Hotel room,1,1,270.0
112,Shared room,0,1,186.0
113,Private room,1,1,550.0
114,Private room,1,1,446.0
115,Private room,1,1,896.0
116,Entire home/apt,1,1,654.0
117,Private room,1,2,600.0
118,Private room,1,1,555.0
119,Hotel room,1,1,497.0
120,Private room,1,1,684.0
121,Private room,1,1,476.0
122,Private room,1,1,444.0
123,Private room,1,1,400.0
124,Private room,1,1,497.0
125,Hotel room,1,1,497.0
126,Private room,1,1,343.0
127,Private room,1,1,836.0
128,Entire home/apt,1,1,144.0
129,Entire home/apt,1,1,314.0
130,Entire home/apt,1,1,286.0
131,Private room,1,1,236.0
132,Private room,1,1,693.0
133,Private room,1,1,493.0
134,Private room,1,1,586.0
135,Private room,1,1,414.0
136,Entire home/apt,1,2,935.0
137,Private room,1,1,281.0
138,Private room,1,1,423.0
139,Entire home/apt,1,1,402.0
140,Entire home/apt,1,1,899.0
141,Private room,15,1,664.0
142,Hotel room,1,1,514.0
143,Private room,1,1,700.0
144,Private room,1,1,428.0
145,Private room,1,1,391.0
146,Private room,15,1,517.0
147,Private room,1,1,800.0
148,Private room,1,1,319.0
149,Private room,1,1,500.0
150,Private room,1,1,711.0
151,Private room,1,1,357.0
152,Private room,1,1,450.0
153,Private room,1,1,543.0
154,Private room,1,1,334.0
155,Private room,1,1,313.0
156,Entire home/apt,1,2,700.0
157,Private room,1,1,277.0
158,Private room,1,1,330.0
159,Shared room,3,1,185.0
160,Entire home/apt,1,1,471.0
161,Private room,1,1,412.0
162,Private room,1,1,250.0
163,Private room,1,1,370.0
164,Private room,1,1,588.0
165,Shared room,1,1,300.0
166,Private room,1,1,400.0
167,Private room,1,1,330.0
168,Shared room,1,1,800.0
169,Private room,1,1,450.0
170,Private room,1,1,350.0
171,Private room,1,1,430.0
172,Private room,1,1,230.0
173,Private room,1,1,230.0
174,Private room,1,1,500.0
175,Private room,1,1,350.0
176,Private room,1,1,717.0
177,Private room,1,1,247.0
178,Private room,1,1,579.0
179,Private room,1,1,350.0
180,Private room,1,1,450.0
181,Private room,1,1,450.0
182,Private room,1,1,450.0
183,Private room,1,1,450.0
184,Private room,1,1,450.0
185,Private room,1,1,450.0
186,Private room,1,1,450.0
187,Private room,1,1,550.0
188,Private room,1,1,550.0
189,Private room,2,1,550.0
190,Private room,1,1,600.0
191,Hotel room,1,1,428.0
192,Private room,1,1,780.0
193,Hotel room,1,1,780.0
194,Hotel room,1,1,345.0
195,Private room,1,1,546.0
196,Hotel room,1,1,546.0
197,Hotel room,1,1,345.0
198,Hotel room,1,1,312.0
199,Entire home/apt,1,1,554.0
200,Private room,1,1,529.0
201,Private room,1,1,450.0
202,Shared room,0,1,143.0
203,Shared room,0,1,259.0
204,Private room,15,1,415.0
205,Private room,1,1,496.0
206,Private room,1,1,450.0
207,Shared room,1,1,200.0
208,Private room,1,1,450.0
209,Private room,1,1,550.0
210,Private room,1,1,488.0
211,Private room,1,1,329.0
212,Private room,1,1,555.0
213,Private room,1,1,664.0
214,Private room,1,1,717.0
215,Private room,1,1,479.0
216,Private room,1,1,360.0
217,Private room,1,1,465.0
218,Private room,1,1,288.0
219,Private room,1,1,600.0
220,Private room,1,1,340.0
221,Entire home/apt,,3,800.0
222,Entire home/apt,1,2,820.0
223,Private room,1,1,248.0
224,Private room,1,1,180.0
225,Private room,1,1,270.0
226,Private room,1,1,800.0
227,Private room,45,1,138.0
228,Hotel room,1,1,345.0
229,Private room,1,1,170.0
230,Private room,1,1,291.0
231,Private room,1,1,555.0
232,Private room,1,1,431.0
233,Private room,1,1,570.0
234,Private room,1,1,400.0
235,Private room,1,1,768.0
236,Entire home/apt,1,1,507.0
237,Private room,1,1,574.0
238,Entire home/apt,1,1,573.0
239,Private room,1,1,440.0
240,Private room,1,1,849.0
241,Private room,1,1,291.0
242,Private room,1,1,180.0
243,Private room,1,1,180.0
244,Private room,1,1,180.0
245,Entire home/apt,1,1,957.0
246,Private room,1,1,277.0
247,Entire home/apt,1,1,479.0
248,Private room,15,1,850.0
249,Private room,1,1,150.0
250,Private room,1,1,295.0
251,Entire home/apt,1,1,811.0
252,Private room,,1,587.0
253,Private room,1,1,754.0
254,Private room,1,1,760.0
255,Private room,1,1,724.0
256,Private room,1,1,650.0
257,Private room,1,1,750.0
258,Private room,1,1,286.0
259,Private room,1,1,295.0
260,Private room,1,1,277.0
261,Private room,1,1,180.0
262,Private room,,1,537.0
263,Private room,1,1,180.0
264,Private room,1,1,180.0
265,Entire home/apt,1,1,217.0
266,Entire home/apt,1,1,217.0
267,Private room,1,1,180.0
268,Private room,1,1,555.0
269,Private room,1,1,400.0
270,Private room,1,1,482.0
271,Private room,15,1,580.0
272,Private room,1,1,180.0
273,Private room,1,1,444.0
