,Rt,Bt,bedrooms,price
274,Private room,1,1,444.0
275,Hotel room,1,1,684.0
276,Private room,1,1,497.0
277,Private room,1,1,180.0
278,Private room,1,1,130.0
279,Private room,1,1,180.0
280,Private room,1,1,217.0
281,Hotel room,1,1,345.0
282,Hotel room,1,1,312.0
283,Private room,1,1,180.0
284,Entire home/apt,1,1,569.0
285,Private room,1,1,316.0
286,Private room,1,1,370.0
287,Private room,1,1,336.0
288,Private room,1,1,180.0
289,Private room,1,1,180.0
290,Private room,1,1,180.0
291,Entire home/apt,1,1,550.0
292,Entire home/apt,1,1,570.0
293,Private room,1,1,240.0
294,Private room,1,1,217.0
295,Entire home/apt,1,1,450.0
296,Private room,1,1,800.0
297,Private room,1,1,180.0
298,Shared room,2,1,185.0
299,Private room,1,1,544.0
300,Private room,1,1,180.0
301,Private room,1,1,700.0
302,Private room,1,1,180.0
303,Hotel room,1,1,280.0
304,Private room,1,1,180.0
305,Private room,1,1,217.0
306,Private room,1,1,180.0
307,Private room,1,1,180.0
308,Private room,1,1,180.0
309,Private room,1,1,180.0
310,Private room,1,1,299.0
311,Private room,1,1,717.0
312,Private room,1,1,180.0
313,Private room,1,1,180.0
314,Entire home/apt,15,1,650.0
315,Private room,1,1,180.0
316,Entire home/apt,1,2,728.0
317,Private room,1,1,217.0
318,Private room,1,1,180.0
319,Private room,1,1,990.0
320,Private room,1,1,180.0
321,Private room,1,1,454.0
322,Shared room,0,1,700.0
323,Private room,15,1,450.0
324,Private room,1,1,180.0
325,Hotel room,4,1,125.0
326,Private room,1,1,370.0
327,Private room,,1,650.0
328,Private room,1,1,555.0
329,Private room,1,1,774.0
330,Hotel room,1,1,555.0
331,Private room,1,1,180.0
332,Hotel room,1,1,684.0
333,Hotel room,1,1,555.0
334,Hotel room,1,1,555.0
335,Private room,1,1,436.0
336,Private room,1,1,360.0
337,Private room,1,1,180.0
338,Private room,15,1,325.0
339,Private room,1,1,180.0
340,Private room,1,1,217.0
341,Private room,1,1,180.0
342,Private room,1,1,180.0
343,Private room,1,1,180.0
344,Private room,1,1,217.0
345,Private room,1,1,130.0
346,Private room,1,1,180.0
347,Private room,1,1,180.0
348,Private room,1,1,558.0
349,Private room,1,1,358.0
350,Private room,1,1,280.0
351,Private room,1,1,400.0
352,Private room,1,1,277.0
353,Private room,1,1,130.0
354,Private room,1,1,130.0
355,Private room,1,1,130.0
356,Private room,1,1,130.0
357,Private room,1,1,217.0
358,Private room,1,1,295.0
359,Private room,1,1,295.0
360,Private room,1,1,180.0
361,Private room,1,1,180.0
362,Private room,1,1,180.0
363,Shared room,3,1,185.0
364,Private room,15,1,392.0
365,Shared room,3,1,185.0
366,Entire home/apt,1,1,800.0
367,Private room,1,1,130.0
368,Private room,1,1,130.0
369,Entire home/apt,1,1,685.0
370,Private room,1,1,360.0
371,Private room,2,1,130.0
372,Private room,2,1,180.0
373,Private room,1,1,180.0
374,Private room,1,1,180.0
375,Entire home/apt,1,1,360.0
376,Private room,1,1,330.0
377,Private room,1,1,320.0
378,Private room,1,1,482.0
379,Private room,1,1,130.0
380,Private room,15,1,497.0
381,Private room,1,1,180.0
382,Private room,1,1,217.0
383,Private room,1,1,217.0
384,Private room,1,1,482.0
385,Entire home/apt,1,1,690.0
386,Private room,1,1,130.0
387,Private room,1,1,360.0
388,Private room,1,1,277.0
389,Private room,1,1,180.0
390,Private room,1,1,180.0
391,Private room,1,1,384.0
392,Private room,1,1,400.0
393,Private room,15,1,130.0
394,Private room,1,1,180.0
395,Private room,1,1,555.0
396,Private room,1,1,950.0
397,Private room,1,1,180.0
398,Entire home/apt,15,2,750.0
399,Private room,1,1,180.0
400,Shared room,2,1,130.0
401,Private room,1,1,140.0
402,Shared room,1,1,130.0
403,Entire home/apt,1,1,300.0
404,Private room,1,1,180.0
405,Private room,1,1,180.0
406,Private room,1,1,180.0
407,Private room,,1,264.0
408,Entire home/apt,1,1,180.0
409,Private room,1,1,160.0
410,Private room,1,1,130.0
411,Entire home/apt,1,2,730.0
412,Private room,1,1,226.0
413,Private room,15,1,541.0
414,Private room,1,1,180.0
415,Private room,1,1,200.0
416,Private room,2,1,130.0
417,Private room,1,1,130.0
418,Private room,15,1,456.0
419,Private room,2,1,180.0
420,Private room,1,1,180.0
421,Private room,1,1,380.0
422,Private room,1,1,180.0
423,Private room,1,1,130.0
424,Private room,1,1,130.0
425,Private room,1,1,130.0
426,Private room,1,1,246.0
427,Private room,2,1,180.0
428,Private room,1,1,130.0
429,Private room,1,1,238.0
430,Entire home/apt,25,3,650.0
431,Entire home/apt,1,1,800.0
432,Private room,1,1,497.0
433,Private room,1,1,130.0
434,Private room,1,1,328.0
435,Private room,15,1,402.0
436,Private room,1,1,364.0
437,Private room,1,1,600.0
438,Private room,1,1,460.0
439,Private room,1,1,220.0
440,Entire home/apt,1,1,928.0
441,Entire home/apt,1,2,750.0
442,Entire home/apt,1,1,540.0
443,Private room,15,1,411.0
444,Entire home/apt,1,2,750.0
445,Entire home/apt,1,2,880.0
446,Entire home/apt,1,2,850.0
447,Entire home/apt,1,1,529.0
448,Private room,15,1,366.0
449,Private room,1,1,130.0
450,Entire home/apt,1,2,800.0
451,Entire home/apt,1,1,700.0
452,Private room,1,1,180.0
453,Private room,1,1,459.0
454,Hotel room,1,1,292.0
455,Private room,1,1,238.0
456,Private room,1,1,180.0
457,Private room,1,1,277.0
458,Private room,1,1,277.0
459,Private room,1,1,544.0
460,Private room,1,1,292.0
461,Private room,1,1,292.0
462,Private room,1,1,308.0
463,Private room,1,1,308.0
464,Private room,1,1,308.0
465,Private room,1,1,383.0
466,Private room,1,1,383.0
467,Private room,1,1,415.0
468,Private room,1,1,280.0
469,Private room,1,1,292.0
470,Private room,1,1,404.0
471,Shared room,3,1,185.0
472,Shared room,2,1,185.0
473,Shared room,2,1,185.0
474,Shared room,2,1,185.0
475,Shared room,2,1,185.0
476,Private room,1,1,364.0
477,Private room,1,1,387.0
478,Entire home/apt,1,1,900.0
479,Private room,1,1,464.0
480,Private room,2,1,180.0
481,Private room,1,1,217.0
482,Private room,1,1,514.0
483,Entire home/apt,1,2,734.0
484,Private room,15,1,380.0
485,Entire home/apt,1,1,390.0
486,Private room,1,1,650.0
487,Private room,1,1,180.0
488,Private room,1,1,499.0
489,Private room,1,1,429.0
490,Private room,1,1,599.0
491,Private room,1,1,799.0
492,Private room,1,1,699.0
493,Private room,1,1,180.0
494,Private room,2,1,217.0
495,Private room,1,1,180.0
496,Private room,1,1,589.0
497,Private room,1,1,364.0
498,Private room,1,1,360.0
499,Entire home/apt,1,1,480.0
500,Entire home/apt,1,2,709.0
501,Entire home/apt,1,1,900.0
502,Entire home/apt,15,1,399.0
503,Private room,1,1,180.0
504,Private room,15,1,523.0
505,Private room,2,1,180.0
506,Private room,1,1,892.0
507,Private room,1,1,180.0
508,Private room,2,1,180.0
509,Private room,1,1,180.0
510,Entire home/apt,1,1,800.0
511,Private room,1,1,180.0
512,Private room,1,1,619.0
513,Private room,1,1,180.0
514,Private room,2,1,180.0
515,Private room,1,1,150.0
516,Entire home/apt,1,1,659.0
517,Private room,1,1,180.0
518,Private room,1,1,180.0
519,Private room,2,1,158.0
520,Private room,1,1,485.0
521,Private room,1,1,320.0
522,Private room,1,1,800.0
523,Private room,15,1,235.0
524,Private room,1,1,150.0
525,Private room,1,1,180.0
526,Private room,1,1,150.0
527,Private room,1,1,130.0
528,Entire home/apt,1,2,660.0
529,Private room,1,1,160.0
530,Entire home/apt,15,1,767.0
531,Private room,1,1,130.0
532,Entire home/apt,1,1,688.0
533,Private room,0,1,130.0
534,Private room,1,1,286.0
535,Private room,3,1,158.0
536,Entire home/apt,1,1,890.0
537,Private room,1,1,260.0
538,Entire home/apt,1,1,609.0
539,Private room,1,1,130.0
540,Private room,1,1,130.0
541,Entire home/apt,1,1,810.0
542,Entire home/apt,1,1,800.0
543,Private room,1,1,130.0
544,Private room,1,1,130.0
545,Private room,2,1,180.0
546,Private room,0,1,130.0
547,Private room,1,1,450.0
548,Private room,0,1,160.0
549,Private room,1,1,180.0
550,Shared room,4,1,180.0
551,Private room,1,1,280.0
552,Entire home/apt,1,1,686.0
553,Private room,15,1,619.0
554,Entire home/apt,1,1,499.0
555,Private room,1,1,130.0
556,Private room,1,1,130.0
557,Entire home/apt,1,1,180.0
558,Private room,15,1,272.0
559,Private room,1,1,130.0
560,Private room,1,1,380.0
561,Private room,1,1,315.0
562,Entire home/apt,3,3,900.0
563,Private room,1,1,360.0
564,Private room,1,1,350.0
565,Private room,1,1,130.0
566,Private room,1,1,699.0
567,Private room,1,1,180.0
568,Private room,3,5,200.0
569,Private room,1,1,130.0
570,Private room,1,1,799.0
571,Private room,1,1,130.0
572,Entire home/apt,2,3,900.0
573,Entire home/apt,2,3,800.0
574,Private room,1,1,354.0
575,Entire home/apt,15,1,880.0
576,Private room,1,1,300.0
577,Entire home/apt,1,1,700.0
578,Private room,1,1,130.0
579,Private room,15,1,482.0
580,Private room,1,1,130.0
581,Entire home/apt,2,2,700.0
582,Private room,1,1,394.0
583,Private room,1,1,523.0
584,Private room,15,1,725.0
585,Private room,15,1,414.0
586,Private room,15,1,586.0
587,Private room,0,1,130.0
588,Private room,1,1,531.0
589,Private room,1,1,330.0
590,Entire home/apt,2,2,565.0
591,Private room,1,1,180.0
592,Private room,1,1,160.0
593,Private room,1,1,130.0
594,Private room,1,1,130.0
595,Private room,1,1,130.0
596,Private room,1,1,130.0
597,Private room,0,1,130.0
598,Private room,1,1,130.0
599,Private room,1,1,130.0
600,Private room,1,1,308.0
601,Private room,1,1,383.0
602,Entire home/apt,15,1,269.0
603,Entire home/apt,1,1,850.0
604,Private room,15,1,600.0
605,Private room,1,1,180.0
606,Entire home/apt,15,1,319.0
607,Entire home/apt,1,1,625.0
608,Private room,1,1,209.0
609,Private room,1,1,450.0
610,Private room,1,1,180.0
611,Private room,1,1,250.0
612,Private room,2,1,180.0
613,Private room,1,1,180.0
614,Private room,1,1,130.0
615,Private room,1,1,130.0
616,Private room,1,1,160.0
617,Private room,1,1,130.0
618,Private room,1,1,130.0
619,Private room,1,1,180.0
620,Private room,1,1,484.0
621,Private room,1,1,330.0
622,Private room,1,1,130.0
623,Private room,5,5,250.0
624,Private room,1,1,624.0
625,Hotel room,,1,120.0
626,Hotel room,1,1,766.0
627,Private room,1,1,130.0
628,Shared room,15,1,707.0
629,Hotel room,1,1,185.0
630,Entire home/apt,1,1,686.0
631,Entire home/apt,1,1,800.0
632,Entire home/apt,1,1,711.0
633,Private room,1,1,599.0
634,Private room,1,1,130.0
635,Private room,1,1,130.0
636,Private room,1,1,685.0
637,Private room,2,1,180.0
638,Private room,1,1,130.0
639,Private room,1,1,480.0
640,Private room,1,1,286.0
641,Private room,1,1,520.0
642,Private room,1,1,180.0
643,Private room,1,1,130.0
644,Private room,1,1,306.0
645,Private room,1,1,403.0
646,Private room,1,1,416.0
647,Private room,1,1,360.0
648,Private room,1,1,294.0
649,Private room,1,1,180.0
650,Private room,1,1,180.0
651,Private room,1,1,350.0
652,Private room,1,1,364.0
653,Private room,1,1,307.0
654,Private room,1,1,600.0
655,Private room,1,1,130.0
656,Shared room,1,1,800.0
657,Entire home/apt,2,2,660.0
658,Entire home/apt,15,2,690.0
659,Private room,15,1,391.0
660,Private room,1,1,376.0
661,Private room,1,1,290.0
662,Entire home/apt,1,1,820.0
663,Private room,1,1,130.0
664,Private room,1,1,500.0
665,Private room,1,1,130.0
666,Private room,1,1,130.0
667,Private room,15,1,488.0
668,Private room,1,1,180.0
669,Private room,1,1,180.0
670,Entire home/apt,1,1,788.0
671,Private room,1,1,334.0
672,Private room,1,1,369.0
673,Entire home/apt,1,1,638.0
674,Shared room,1,1,450.0
675,Private room,1,1,180.0
676,Private room,1,1,477.0
677,Entire home/apt,1,1,500.0
678,Entire home/apt,1,1,500.0
679,Private room,,1,155.0
680,Private room,1,1,130.0
681,Private room,2,1,180.0
682,Hotel room,1,1,609.0
683,Entire home/apt,1,1,650.0
684,Hotel room,1,1,343.0
685,Private room,1,1,130.0
686,Hotel room,1,1,343.0
687,Hotel room,1,1,343.0
688,Hotel room,1,1,343.0
689,Hotel room,1,1,343.0
690,Hotel room,1,1,363.0
691,Hotel room,1,1,363.0
692,Hotel room,1,1,363.0
693,Hotel room,1,1,363.0
694,Hotel room,1,1,363.0
695,Hotel room,1,1,445.0
696,Hotel room,1,1,445.0
697,Hotel room,1,1,445.0
698,Hotel room,1,1,445.0
699,Hotel room,1,1,471.0
700,Hotel room,1,1,609.0
701,Hotel room,1,1,609.0
702,Private room,1,1,609.0
703,Hotel room,1,1,609.0
704,Private room,1,1,400.0
705,Private room,2,1,180.0
706,Private room,2,1,180.0
707,Entire home/apt,1,1,645.0
708,Private room,1,1,130.0
709,Private room,1,1,180.0
710,Private room,1,1,180.0
711,Entire home/apt,1,2,650.0
712,Hotel room,1,1,365.0
713,Hotel room,1,1,365.0
714,Hotel room,1,1,344.0
715,Hotel room,1,1,363.0
716,Hotel room,1,1,388.0
717,Hotel room,1,1,363.0
718,Hotel room,1,1,609.0
719,Hotel room,1,1,609.0
720,Hotel room,1,1,609.0
721,Hotel room,1,1,609.0
722,Private room,1,1,455.0
723,Entire home/apt,1,1,780.0
724,Private room,2,1,180.0
725,Private room,1,1,180.0
726,Entire home/apt,1,1,480.0
727,Entire home/apt,1,1,432.0
728,Entire home/apt,1,1,450.0
729,Private room,1,1,130.0
730,Private room,1,1,180.0
731,Private room,1,1,384.0
732,Private room,1,1,180.0
733,Private room,1,1,180.0
734,Private room,15,1,300.0
735,Private room,1,1,180.0
736,Entire home/apt,1,1,780.0
737,Private room,1,1,180.0
738,Private room,2,1,180.0
739,Private room,2,1,180.0
740,Private room,1,1,180.0
741,Private room,2,1,180.0
742,Private room,1,1,130.0
743,Private room,1,1,130.0
744,Private room,1,1,132.0
745,Private room,1,1,130.0
746,Entire home/apt,1,1,500.0
747,Private room,1,1,220.0
748,Private room,,1,150.0
749,Private room,1,1,541.0
750,Private room,1,1,150.0
751,Private room,1,1,180.0
752,Private room,1,1,180.0
753,Private room,1,1,180.0
754,Private room,1,1,130.0
755,Private room,1,1,306.0
756,Private room,1,1,328.0
757,Entire home/apt,1,1,900.0
758,Private room,1,1,180.0
759,Entire home/apt,1,1,800.0
760,Entire home/apt,2,2,700.0
761,Private room,1,1,330.0
762,Private room,1,1,180.0
763,Private room,1,1,130.0
764,Private room,1,1,180.0
765,Private room,1,1,219.0
766,Private room,1,1,180.0
767,Private room,1,1,130.0
768,Private room,1,1,130.0
769,Entire home/apt,1,1,729.0
770,Private room,1,1,140.0
771,Private room,1,1,130.0
772,Entire home/apt,2,4,800.0
773,Private room,1,1,180.0
774,Private room,1,1,180.0
775,Entire home/apt,1,2,600.0
776,Private room,1,1,130.0
777,Private room,1,1,732.0
778,Entire home/apt,1,2,714.0
779,Private room,1,1,180.0
780,Private room,1,1,352.0
781,Entire home/apt,1,2,950.0
782,Shared room,2,1,185.0
783,Private room,1,1,628.0
784,Shared room,1,1,120.0
785,Private room,1,1,296.0
786,Private room,1,1,217.0
787,Entire home/apt,1,1,714.0
788,Private room,1,1,593.0
789,Private room,1,1,843.0
790,Private room,1,1,550.0
791,Private room,1,1,130.0
792,Shared room,3,1,185.0
793,Shared room,3,1,185.0
794,Entire home/apt,1,1,600.0
795,Shared room,1,1,358.0
796,Shared room,1,1,358.0
797,Shared room,1,1,358.0
798,Private room,1,1,210.0
799,Private room,1,1,717.0
800,Private room,1,1,717.0
801,Entire home/apt,1,1,498.0
802,Entire home/apt,1,1,640.0
803,Entire home/apt,1,1,670.0
804,Private room,1,1,337.0
805,Private room,1,1,337.0
806,Private room,1,1,337.0
807,Shared room,3,1,185.0
808,Private room,1,1,310.0
809,Private room,1,1,130.0
810,Entire home/apt,1,1,950.0
811,Private room,1,1,130.0
812,Private room,2,1,180.0
813,Private room,1,1,180.0
814,Entire home/apt,1,1,217.0
815,Private room,1,1,474.0
816,Private room,1,1,310.0
817,Private room,1,1,180.0
818,Private room,1,1,180.0
819,Private room,1,1,617.0
820,Private room,1,1,217.0
821,Private room,1,1,180.0
822,Private room,1,1,439.0
823,Private room,1,1,481.0
824,Private room,1,1,405.0
825,Private room,1,1,489.0
826,Private room,1,1,439.0
827,Entire home/apt,1,1,540.0
828,Private room,15,1,450.0
829,Private room,1,1,517.0
830,Private room,1,1,337.0
831,Private room,1,1,130.0
832,Entire home/apt,1,1,509.0
833,Private room,1,1,330.0
834,Entire home/apt,1,1,650.0
835,Private room,1,1,404.0
836,Private room,15,1,683.0
837,Private room,1,1,355.0
838,Private room,1,1,408.0
839,Private room,1,1,408.0
840,Private room,1,1,465.0
841,Private room,1,1,465.0
842,Private room,1,1,562.0
843,Private room,1,1,580.0
844,Private room,1,1,532.0
845,Private room,1,1,404.0
846,Private room,1,1,404.0
847,Private room,1,1,404.0
848,Private room,1,1,457.0
849,Private room,1,1,481.0
850,Private room,1,1,130.0
851,Entire home/apt,1,1,520.0
852,Private room,1,1,488.0
853,Entire home/apt,1,2,850.0
854,Entire home/apt,2,2,850.0
855,Entire home/apt,1,2,900.0
856,Private room,1,1,130.0
857,Private room,1,1,479.0
858,Entire home/apt,1,2,900.0
859,Private room,2,2,900.0
860,Private room,1,1,771.0
861,Shared room,1,1,148.0
862,Private room,1,2,248.0
863,Entire home/apt,1,2,850.0
864,Private room,1,3,485.0
865,Entire home/apt,1,2,850.0
866,Entire home/apt,1,1,750.0
867,Entire home/apt,1,1,790.0
868,Entire home/apt,1,1,229.0
869,Private room,1,1,420.0
870,Private room,1,1,130.0
871,Entire home/apt,15,1,810.0
872,Private room,1,1,350.0
873,Entire home/apt,1,2,988.0
874,Private room,1,1,500.0
875,Private room,1,1,411.0
876,Private room,1,1,180.0
877,Private room,1,1,130.0
878,Private room,1,1,676.0
879,Private room,1,1,523.0
880,Private room,1,1,130.0
881,Private room,1,1,688.0
882,Hotel room,1,1,312.0
883,Shared room,2,1,180.0
884,Private room,1,1,483.0
885,Private room,1,1,519.0
886,Private room,1,1,130.0
887,Shared room,2,1,300.0
888,Private room,1,1,180.0
889,Private room,1,1,497.0
890,Private room,1,1,356.0
891,Entire home/apt,1,1,555.0
892,Entire home/apt,1,1,479.0
893,Private room,1,1,460.0
894,Private room,1,1,360.0
895,Private room,1,1,180.0
896,Private room,1,1,130.0
897,Entire home/apt,,1,580.0
898,Private room,1,1,663.0
899,Private room,1,1,406.0
900,Private room,1,1,500.0
901,Private room,1,1,350.0
902,Private room,1,1,507.0
903,Private room,1,1,300.0
904,Entire home/apt,1,2,382.0
905,Private room,2,1,100.0
906,Entire home/apt,1,3,893.0
907,Private room,1,1,460.0
908,Private room,1,1,700.0
909,Entire home/apt,1,1,653.0
910,Private room,1,1,550.0
911,Private room,1,1,457.0
912,Private room,1,1,130.0
913,Shared room,15,1,598.0
914,Private room,1,1,791.0
915,Hotel room,1,1,320.0
916,Entire home/apt,1,2,850.0
917,Private room,1,1,217.0
918,Entire home/apt,2,1,399.0
919,Entire home/apt,15,1,427.0
920,Private room,1,1,180.0
921,Private room,1,1,384.0
922,Private room,1,1,400.0
923,Entire home/apt,1,2,850.0
924,Private room,1,1,180.0
925,Entire home/apt,1,1,900.0
926,Private room,1,1,205.0
927,Private room,1,1,180.0
928,Private room,1,1,217.0
929,Private room,1,1,180.0
930,Shared room,2,1,736.0
931,Private room,1,1,766.0
932,Entire home/apt,1,1,550.0
933,Private room,1,1,130.0
934,Private room,1,1,200.0
935,Private room,1,1,380.0
936,Private room,1,1,888.0
937,Entire home/apt,15,1,500.0
938,Entire home/apt,1,2,817.0
939,Private room,1,1,460.0
940,Private room,1,1,251.0
941,Private room,1,1,130.0
942,Private room,1,1,180.0
943,Entire home/apt,1,1,598.0
944,Private room,1,1,380.0
945,Private room,1,1,180.0
946,Private room,1,1,380.0
947,Entire home/apt,1,2,850.0
948,Entire home/apt,1,1,750.0
