,id,listing_url,neighbourhood,neighbourhood_cleansed,latitude,longitude,accommodates,price,review_scores_value,review_scores_location,review_scores_rating,review_scores_accuracy,review_scores_communication,average_rating,price_per_person,rating_category,price_level,price_range
93,5207367.0,https://www.airbnb.com/rooms/5207367,,Sham Shui Po,22.3333,114.16546,2,250,4.8,4.88,4.83,4.81,4.98,4.86,125.0,100,Level 2,"(120.0, 191.75]"
94,5208678.0,https://www.airbnb.com/rooms/5208678,,Sham Shui Po,22.33316,114.16513,2,250,4.67,4.67,4.73,4.81,4.88,4.752,125.0,80,Level 2,"(120.0, 191.75]"
95,5221596.0,https://www.airbnb.com/rooms/5221596,,Yau Tsim Mong,22.3208,114.17091,2,364,4.83,4.95,4.83,4.91,4.95,4.894,182.0,100,Level 2,"(120.0, 191.75]"
96,5223888.0,https://www.airbnb.com/rooms/5223888,,Yau Tsim Mong,22.31232,114.16947,3,883,4.5,5.0,4.5,5.0,5.0,4.8,294.33,80,Level 3,"(191.75, 360.625]"
97,5242323.0,https://www.airbnb.com/rooms/5242323,,Wan Chai,22.28001,114.18653,2,600,4.5,4.5,4.0,4.5,5.0,4.5,300.0,40,Level 3,"(191.75, 360.625]"
98,5243206.0,https://www.airbnb.com/rooms/5243206,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.3199,114.17074,5,627,3.89,4.56,4.06,4.22,4.0,4.145999999999999,125.4,40,Level 2,"(120.0, 191.75]"
99,5255754.0,https://www.airbnb.com/rooms/5255754,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western,22.28444,114.15101,2,1250,4.92,4.92,4.96,4.97,4.99,4.952,625.0,100,Level 5,"(580.0, 250260.0]"
100,5271925.0,https://www.airbnb.com/rooms/5271925,,Yau Tsim Mong,22.31979,114.17078,4,576,4.57,4.92,4.18,4.47,4.58,4.544,144.0,40,Level 2,"(120.0, 191.75]"
101,5283747.0,https://www.airbnb.com/rooms/5283747,,Yau Tsim Mong,22.30544,114.17267,2,666,4.73,4.94,4.75,4.88,4.93,4.846,333.0,80,Level 3,"(191.75, 360.625]"
102,5325455.0,https://www.airbnb.com/rooms/5325455,,Yau Tsim Mong,22.30513,114.17138,2,452,4.8,4.9,4.77,4.82,4.92,4.8420000000000005,226.0,80,Level 3,"(191.75, 360.625]"
