,Rt,Bt,bedrooms,price,average_price_for_Room_types,average_price_for_Bathrooms,average_price_for_Bedroom
29,Private room,1.0,1,217.0,319.90830291970804,385.3544721407625,358.61450252951096
30,Private room,1.0,1,297.0,319.90830291970804,385.3544721407625,358.61450252951096
31,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
32,Private room,1.0,1,650.0,319.90830291970804,385.3544721407625,358.61450252951096
33,Private room,1.0,1,900.0,319.90830291970804,385.3544721407625,358.61450252951096
34,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
35,Entire home/apt,1.0,2,580.0,646.4595375722544,385.3544721407625,720.6256983240223
36,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
37,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
38,Entire home/apt,1.0,1,283.0,646.4595375722544,385.3544721407625,358.61450252951096
39,Private room,1.0,1,217.0,319.90830291970804,385.3544721407625,358.61450252951096
40,Entire home/apt,1.0,2,499.0,646.4595375722544,385.3544721407625,720.6256983240223
41,Entire home/apt,1.0,2,464.0,646.4595375722544,385.3544721407625,720.6256983240223
42,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
43,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
44,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
45,Private room,2.0,2,500.0,319.90830291970804,325.19457013574663,720.6256983240223
46,Private room,15.0,1,280.0,319.90830291970804,515.0064935064935,358.61450252951096
47,Entire home/apt,1.0,2,857.0,646.4595375722544,385.3544721407625,720.6256983240223
48,Private room,1.0,1,700.0,319.90830291970804,385.3544721407625,358.61450252951096
49,Private room,1.0,1,968.0,319.90830291970804,385.3544721407625,358.61450252951096
50,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
51,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
52,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
53,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
54,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
55,Private room,1.0,1,480.0,319.90830291970804,385.3544721407625,358.61450252951096
56,Private room,1.0,1,130.0,319.90830291970804,385.3544721407625,358.61450252951096
57,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
58,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
59,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
60,Private room,1.0,1,350.0,319.90830291970804,385.3544721407625,358.61450252951096
61,Private room,1.0,1,600.0,319.90830291970804,385.3544721407625,358.61450252951096
62,Entire home/apt,1.0,2,799.0,646.4595375722544,385.3544721407625,720.6256983240223
63,Entire home/apt,1.0,1,531.0,646.4595375722544,385.3544721407625,358.61450252951096
64,Private room,1.0,1,238.0,319.90830291970804,385.3544721407625,358.61450252951096
65,Private room,15.0,1,300.0,319.90830291970804,515.0064935064935,358.61450252951096
66,Private room,1.0,1,600.0,319.90830291970804,385.3544721407625,358.61450252951096
67,Private room,1.0,1,238.0,319.90830291970804,385.3544721407625,358.61450252951096
68,Private room,1.0,1,261.0,319.90830291970804,385.3544721407625,358.61450252951096
69,Private room,1.0,1,240.0,319.90830291970804,385.3544721407625,358.61450252951096
70,Private room,1.0,1,299.0,319.90830291970804,385.3544721407625,358.61450252951096
71,Private room,1.0,1,240.0,319.90830291970804,385.3544721407625,358.61450252951096
72,Private room,1.0,1,259.0,319.90830291970804,385.3544721407625,358.61450252951096
73,Private room,1.0,1,238.0,319.90830291970804,385.3544721407625,358.61450252951096
74,Private room,1.0,1,285.0,319.90830291970804,385.3544721407625,358.61450252951096
75,Private room,1.0,1,240.0,319.90830291970804,385.3544721407625,358.61450252951096
76,Hotel room,35.0,1,236.0,418.93333333333334,243.0,358.61450252951096
77,Entire home/apt,1.0,1,608.0,646.4595375722544,385.3544721407625,358.61450252951096
78,Private room,1.0,1,236.0,319.90830291970804,385.3544721407625,358.61450252951096
79,Private room,1.0,1,466.0,319.90830291970804,385.3544721407625,358.61450252951096
80,Private room,1.0,1,500.0,319.90830291970804,385.3544721407625,358.61450252951096
81,Private room,15.0,1,700.0,319.90830291970804,515.0064935064935,358.61450252951096
82,Private room,1.0,1,800.0,319.90830291970804,385.3544721407625,358.61450252951096
83,Private room,1.0,1,476.0,319.90830291970804,385.3544721407625,358.61450252951096
84,Private room,1.0,1,641.0,319.90830291970804,385.3544721407625,358.61450252951096
85,Private room,1.0,1,635.0,319.90830291970804,385.3544721407625,358.61450252951096
86,Entire home/apt,15.0,1,250.0,646.4595375722544,515.0064935064935,358.61450252951096
87,Entire home/apt,15.0,1,250.0,646.4595375722544,515.0064935064935,358.61450252951096
88,Private room,1.0,1,364.0,319.90830291970804,385.3544721407625,358.61450252951096
89,Private room,1.0,1,883.0,319.90830291970804,385.3544721407625,358.61450252951096
90,Private room,1.0,1,600.0,319.90830291970804,385.3544721407625,358.61450252951096
91,Private room,1.0,1,627.0,319.90830291970804,385.3544721407625,358.61450252951096
92,Entire home/apt,1.0,1,576.0,646.4595375722544,385.3544721407625,358.61450252951096
93,Private room,1.0,1,666.0,319.90830291970804,385.3544721407625,358.61450252951096
94,Private room,1.0,1,452.0,319.90830291970804,385.3544721407625,358.61450252951096
95,Private room,1.0,1,347.0,319.90830291970804,385.3544721407625,358.61450252951096
96,Private room,1.0,1,529.0,319.90830291970804,385.3544721407625,358.61450252951096
97,Entire home/apt,1.0,2,550.0,646.4595375722544,385.3544721407625,720.6256983240223
98,Private room,1.0,1,360.0,319.90830291970804,385.3544721407625,358.61450252951096
99,Private room,1.0,1,980.0,319.90830291970804,385.3544721407625,358.61450252951096
100,Private room,1.0,1,400.0,319.90830291970804,385.3544721407625,358.61450252951096
101,Private room,1.0,1,375.0,319.90830291970804,385.3544721407625,358.61450252951096
102,Private room,1.0,1,188.0,319.90830291970804,385.3544721407625,358.61450252951096
103,Private room,1.0,1,444.0,319.90830291970804,385.3544721407625,358.61450252951096
104,Hotel room,1.0,1,270.0,418.93333333333334,385.3544721407625,358.61450252951096
105,Shared room,0.0,1,186.0,232.1953125,234.73333333333332,358.61450252951096
106,Private room,1.0,1,550.0,319.90830291970804,385.3544721407625,358.61450252951096
107,Private room,1.0,1,446.0,319.90830291970804,385.3544721407625,358.61450252951096
108,Private room,1.0,1,896.0,319.90830291970804,385.3544721407625,358.61450252951096
109,Entire home/apt,1.0,1,654.0,646.4595375722544,385.3544721407625,358.61450252951096
110,Private room,1.0,2,600.0,319.90830291970804,385.3544721407625,720.6256983240223
111,Private room,1.0,1,555.0,319.90830291970804,385.3544721407625,358.61450252951096
112,Hotel room,1.0,1,497.0,418.93333333333334,385.3544721407625,358.61450252951096
113,Private room,1.0,1,684.0,319.90830291970804,385.3544721407625,358.61450252951096
114,Private room,1.0,1,476.0,319.90830291970804,385.3544721407625,358.61450252951096
115,Private room,1.0,1,444.0,319.90830291970804,385.3544721407625,358.61450252951096
116,Private room,1.0,1,400.0,319.90830291970804,385.3544721407625,358.61450252951096
117,Private room,1.0,1,497.0,319.90830291970804,385.3544721407625,358.61450252951096
118,Hotel room,1.0,1,497.0,418.93333333333334,385.3544721407625,358.61450252951096
119,Private room,1.0,1,343.0,319.90830291970804,385.3544721407625,358.61450252951096
120,Private room,1.0,1,836.0,319.90830291970804,385.3544721407625,358.61450252951096
121,Entire home/apt,1.0,1,144.0,646.4595375722544,385.3544721407625,358.61450252951096
122,Entire home/apt,1.0,1,314.0,646.4595375722544,385.3544721407625,358.61450252951096
123,Entire home/apt,1.0,1,286.0,646.4595375722544,385.3544721407625,358.61450252951096
124,Private room,1.0,1,236.0,319.90830291970804,385.3544721407625,358.61450252951096
125,Private room,1.0,1,693.0,319.90830291970804,385.3544721407625,358.61450252951096
126,Private room,1.0,1,493.0,319.90830291970804,385.3544721407625,358.61450252951096
127,Private room,1.0,1,586.0,319.90830291970804,385.3544721407625,358.61450252951096
128,Private room,1.0,1,414.0,319.90830291970804,385.3544721407625,358.61450252951096
129,Entire home/apt,1.0,2,935.0,646.4595375722544,385.3544721407625,720.6256983240223
130,Private room,1.0,1,281.0,319.90830291970804,385.3544721407625,358.61450252951096
131,Private room,1.0,1,423.0,319.90830291970804,385.3544721407625,358.61450252951096
132,Entire home/apt,1.0,1,402.0,646.4595375722544,385.3544721407625,358.61450252951096
133,Entire home/apt,1.0,1,899.0,646.4595375722544,385.3544721407625,358.61450252951096
134,Private room,15.0,1,664.0,319.90830291970804,515.0064935064935,358.61450252951096
135,Hotel room,1.0,1,514.0,418.93333333333334,385.3544721407625,358.61450252951096
136,Private room,1.0,1,700.0,319.90830291970804,385.3544721407625,358.61450252951096
137,Private room,1.0,1,428.0,319.90830291970804,385.3544721407625,358.61450252951096
138,Private room,1.0,1,391.0,319.90830291970804,385.3544721407625,358.61450252951096
139,Private room,15.0,1,517.0,319.90830291970804,515.0064935064935,358.61450252951096
140,Private room,1.0,1,800.0,319.90830291970804,385.3544721407625,358.61450252951096
141,Private room,1.0,1,319.0,319.90830291970804,385.3544721407625,358.61450252951096
142,Private room,1.0,1,500.0,319.90830291970804,385.3544721407625,358.61450252951096
143,Private room,1.0,1,711.0,319.90830291970804,385.3544721407625,358.61450252951096
144,Private room,1.0,1,357.0,319.90830291970804,385.3544721407625,358.61450252951096
145,Private room,1.0,1,450.0,319.90830291970804,385.3544721407625,358.61450252951096
146,Private room,1.0,1,543.0,319.90830291970804,385.3544721407625,358.61450252951096
147,Private room,1.0,1,334.0,319.90830291970804,385.3544721407625,358.61450252951096
148,Private room,1.0,1,313.0,319.90830291970804,385.3544721407625,358.61450252951096
149,Entire home/apt,1.0,2,700.0,646.4595375722544,385.3544721407625,720.6256983240223
150,Private room,1.0,1,277.0,319.90830291970804,385.3544721407625,358.61450252951096
151,Private room,1.0,1,330.0,319.90830291970804,385.3544721407625,358.61450252951096
152,Shared room,3.0,1,185.0,232.1953125,303.5,358.61450252951096
153,Entire home/apt,1.0,1,471.0,646.4595375722544,385.3544721407625,358.61450252951096
154,Private room,1.0,1,412.0,319.90830291970804,385.3544721407625,358.61450252951096
155,Private room,1.0,1,250.0,319.90830291970804,385.3544721407625,358.61450252951096
156,Private room,1.0,1,370.0,319.90830291970804,385.3544721407625,358.61450252951096
157,Private room,1.0,1,588.0,319.90830291970804,385.3544721407625,358.61450252951096
158,Shared room,1.0,1,300.0,232.1953125,385.3544721407625,358.61450252951096
159,Private room,1.0,1,400.0,319.90830291970804,385.3544721407625,358.61450252951096
160,Private room,1.0,1,330.0,319.90830291970804,385.3544721407625,358.61450252951096
161,Shared room,1.0,1,800.0,232.1953125,385.3544721407625,358.61450252951096
162,Private room,1.0,1,450.0,319.90830291970804,385.3544721407625,358.61450252951096
163,Private room,1.0,1,350.0,319.90830291970804,385.3544721407625,358.61450252951096
164,Private room,1.0,1,430.0,319.90830291970804,385.3544721407625,358.61450252951096
165,Private room,1.0,1,230.0,319.90830291970804,385.3544721407625,358.61450252951096
166,Private room,1.0,1,230.0,319.90830291970804,385.3544721407625,358.61450252951096
167,Private room,1.0,1,500.0,319.90830291970804,385.3544721407625,358.61450252951096
168,Private room,1.0,1,350.0,319.90830291970804,385.3544721407625,358.61450252951096
169,Private room,1.0,1,717.0,319.90830291970804,385.3544721407625,358.61450252951096
170,Private room,1.0,1,247.0,319.90830291970804,385.3544721407625,358.61450252951096
171,Private room,1.0,1,579.0,319.90830291970804,385.3544721407625,358.61450252951096
172,Private room,1.0,1,350.0,319.90830291970804,385.3544721407625,358.61450252951096
173,Private room,1.0,1,450.0,319.90830291970804,385.3544721407625,358.61450252951096
174,Private room,1.0,1,450.0,319.90830291970804,385.3544721407625,358.61450252951096
175,Private room,1.0,1,450.0,319.90830291970804,385.3544721407625,358.61450252951096
176,Private room,1.0,1,450.0,319.90830291970804,385.3544721407625,358.61450252951096
177,Private room,1.0,1,450.0,319.90830291970804,385.3544721407625,358.61450252951096
178,Private room,1.0,1,450.0,319.90830291970804,385.3544721407625,358.61450252951096
179,Private room,1.0,1,450.0,319.90830291970804,385.3544721407625,358.61450252951096
180,Private room,1.0,1,550.0,319.90830291970804,385.3544721407625,358.61450252951096
181,Private room,1.0,1,550.0,319.90830291970804,385.3544721407625,358.61450252951096
182,Private room,2.0,1,550.0,319.90830291970804,325.19457013574663,358.61450252951096
183,Private room,1.0,1,600.0,319.90830291970804,385.3544721407625,358.61450252951096
184,Hotel room,1.0,1,428.0,418.93333333333334,385.3544721407625,358.61450252951096
185,Private room,1.0,1,780.0,319.90830291970804,385.3544721407625,358.61450252951096
186,Hotel room,1.0,1,780.0,418.93333333333334,385.3544721407625,358.61450252951096
187,Hotel room,1.0,1,345.0,418.93333333333334,385.3544721407625,358.61450252951096
188,Private room,1.0,1,546.0,319.90830291970804,385.3544721407625,358.61450252951096
189,Hotel room,1.0,1,546.0,418.93333333333334,385.3544721407625,358.61450252951096
190,Hotel room,1.0,1,345.0,418.93333333333334,385.3544721407625,358.61450252951096
191,Hotel room,1.0,1,312.0,418.93333333333334,385.3544721407625,358.61450252951096
192,Entire home/apt,1.0,1,554.0,646.4595375722544,385.3544721407625,358.61450252951096
193,Private room,1.0,1,529.0,319.90830291970804,385.3544721407625,358.61450252951096
194,Private room,1.0,1,450.0,319.90830291970804,385.3544721407625,358.61450252951096
195,Shared room,0.0,1,143.0,232.1953125,234.73333333333332,358.61450252951096
196,Shared room,0.0,1,259.0,232.1953125,234.73333333333332,358.61450252951096
197,Private room,15.0,1,415.0,319.90830291970804,515.0064935064935,358.61450252951096
198,Private room,1.0,1,496.0,319.90830291970804,385.3544721407625,358.61450252951096
199,Private room,1.0,1,450.0,319.90830291970804,385.3544721407625,358.61450252951096
200,Shared room,1.0,1,200.0,232.1953125,385.3544721407625,358.61450252951096
201,Private room,1.0,1,450.0,319.90830291970804,385.3544721407625,358.61450252951096
202,Private room,1.0,1,550.0,319.90830291970804,385.3544721407625,358.61450252951096
203,Private room,1.0,1,488.0,319.90830291970804,385.3544721407625,358.61450252951096
204,Private room,1.0,1,329.0,319.90830291970804,385.3544721407625,358.61450252951096
205,Private room,1.0,1,555.0,319.90830291970804,385.3544721407625,358.61450252951096
206,Private room,1.0,1,664.0,319.90830291970804,385.3544721407625,358.61450252951096
207,Private room,1.0,1,717.0,319.90830291970804,385.3544721407625,358.61450252951096
208,Private room,1.0,1,479.0,319.90830291970804,385.3544721407625,358.61450252951096
209,Private room,1.0,1,360.0,319.90830291970804,385.3544721407625,358.61450252951096
210,Private room,1.0,1,465.0,319.90830291970804,385.3544721407625,358.61450252951096
211,Private room,1.0,1,288.0,319.90830291970804,385.3544721407625,358.61450252951096
212,Private room,1.0,1,600.0,319.90830291970804,385.3544721407625,358.61450252951096
213,Private room,1.0,1,340.0,319.90830291970804,385.3544721407625,358.61450252951096
214,Entire home/apt,,3,800.0,646.4595375722544,,795.9761904761905
215,Entire home/apt,1.0,2,820.0,646.4595375722544,385.3544721407625,720.6256983240223
216,Private room,1.0,1,248.0,319.90830291970804,385.3544721407625,358.61450252951096
217,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
218,Private room,1.0,1,270.0,319.90830291970804,385.3544721407625,358.61450252951096
219,Private room,1.0,1,800.0,319.90830291970804,385.3544721407625,358.61450252951096
220,Private room,45.0,1,138.0,319.90830291970804,138.0,358.61450252951096
221,Hotel room,1.0,1,345.0,418.93333333333334,385.3544721407625,358.61450252951096
222,Private room,1.0,1,170.0,319.90830291970804,385.3544721407625,358.61450252951096
223,Private room,1.0,1,291.0,319.90830291970804,385.3544721407625,358.61450252951096
224,Private room,1.0,1,555.0,319.90830291970804,385.3544721407625,358.61450252951096
225,Private room,1.0,1,431.0,319.90830291970804,385.3544721407625,358.61450252951096
226,Private room,1.0,1,570.0,319.90830291970804,385.3544721407625,358.61450252951096
227,Private room,1.0,1,400.0,319.90830291970804,385.3544721407625,358.61450252951096
228,Private room,1.0,1,768.0,319.90830291970804,385.3544721407625,358.61450252951096
229,Entire home/apt,1.0,1,507.0,646.4595375722544,385.3544721407625,358.61450252951096
230,Private room,1.0,1,574.0,319.90830291970804,385.3544721407625,358.61450252951096
231,Entire home/apt,1.0,1,573.0,646.4595375722544,385.3544721407625,358.61450252951096
232,Private room,1.0,1,440.0,319.90830291970804,385.3544721407625,358.61450252951096
233,Private room,1.0,1,849.0,319.90830291970804,385.3544721407625,358.61450252951096
234,Private room,1.0,1,291.0,319.90830291970804,385.3544721407625,358.61450252951096
235,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
236,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
237,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
238,Entire home/apt,1.0,1,957.0,646.4595375722544,385.3544721407625,358.61450252951096
239,Private room,1.0,1,277.0,319.90830291970804,385.3544721407625,358.61450252951096
240,Entire home/apt,1.0,1,479.0,646.4595375722544,385.3544721407625,358.61450252951096
241,Private room,15.0,1,850.0,319.90830291970804,515.0064935064935,358.61450252951096
242,Private room,1.0,1,150.0,319.90830291970804,385.3544721407625,358.61450252951096
243,Private room,1.0,1,295.0,319.90830291970804,385.3544721407625,358.61450252951096
244,Entire home/apt,1.0,1,811.0,646.4595375722544,385.3544721407625,358.61450252951096
245,Private room,,1,587.0,319.90830291970804,,358.61450252951096
246,Private room,1.0,1,754.0,319.90830291970804,385.3544721407625,358.61450252951096
247,Private room,1.0,1,760.0,319.90830291970804,385.3544721407625,358.61450252951096
248,Private room,1.0,1,724.0,319.90830291970804,385.3544721407625,358.61450252951096
249,Private room,1.0,1,650.0,319.90830291970804,385.3544721407625,358.61450252951096
250,Private room,1.0,1,750.0,319.90830291970804,385.3544721407625,358.61450252951096
251,Private room,1.0,1,286.0,319.90830291970804,385.3544721407625,358.61450252951096
252,Private room,1.0,1,295.0,319.90830291970804,385.3544721407625,358.61450252951096
253,Private room,1.0,1,277.0,319.90830291970804,385.3544721407625,358.61450252951096
254,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
255,Private room,,1,537.0,319.90830291970804,,358.61450252951096
256,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
257,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
258,Entire home/apt,1.0,1,217.0,646.4595375722544,385.3544721407625,358.61450252951096
259,Entire home/apt,1.0,1,217.0,646.4595375722544,385.3544721407625,358.61450252951096
260,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
261,Private room,1.0,1,555.0,319.90830291970804,385.3544721407625,358.61450252951096
262,Private room,1.0,1,400.0,319.90830291970804,385.3544721407625,358.61450252951096
263,Private room,1.0,1,482.0,319.90830291970804,385.3544721407625,358.61450252951096
264,Private room,15.0,1,580.0,319.90830291970804,515.0064935064935,358.61450252951096
265,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
266,Private room,1.0,1,444.0,319.90830291970804,385.3544721407625,358.61450252951096
267,Private room,1.0,1,444.0,319.90830291970804,385.3544721407625,358.61450252951096
268,Hotel room,1.0,1,684.0,418.93333333333334,385.3544721407625,358.61450252951096
269,Private room,1.0,1,497.0,319.90830291970804,385.3544721407625,358.61450252951096
270,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
271,Private room,1.0,1,130.0,319.90830291970804,385.3544721407625,358.61450252951096
272,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
273,Private room,1.0,1,217.0,319.90830291970804,385.3544721407625,358.61450252951096
274,Hotel room,1.0,1,345.0,418.93333333333334,385.3544721407625,358.61450252951096
275,Hotel room,1.0,1,312.0,418.93333333333334,385.3544721407625,358.61450252951096
276,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
277,Entire home/apt,1.0,1,569.0,646.4595375722544,385.3544721407625,358.61450252951096
278,Private room,1.0,1,316.0,319.90830291970804,385.3544721407625,358.61450252951096
279,Private room,1.0,1,370.0,319.90830291970804,385.3544721407625,358.61450252951096
280,Private room,1.0,1,336.0,319.90830291970804,385.3544721407625,358.61450252951096
281,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
282,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
283,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
284,Entire home/apt,1.0,1,550.0,646.4595375722544,385.3544721407625,358.61450252951096
285,Entire home/apt,1.0,1,570.0,646.4595375722544,385.3544721407625,358.61450252951096
286,Private room,1.0,1,240.0,319.90830291970804,385.3544721407625,358.61450252951096
287,Private room,1.0,1,217.0,319.90830291970804,385.3544721407625,358.61450252951096
288,Entire home/apt,1.0,1,450.0,646.4595375722544,385.3544721407625,358.61450252951096
289,Private room,1.0,1,800.0,319.90830291970804,385.3544721407625,358.61450252951096
290,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
291,Shared room,2.0,1,185.0,232.1953125,325.19457013574663,358.61450252951096
292,Private room,1.0,1,544.0,319.90830291970804,385.3544721407625,358.61450252951096
293,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
294,Private room,1.0,1,700.0,319.90830291970804,385.3544721407625,358.61450252951096
295,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
296,Hotel room,1.0,1,280.0,418.93333333333334,385.3544721407625,358.61450252951096
297,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
298,Private room,1.0,1,217.0,319.90830291970804,385.3544721407625,358.61450252951096
299,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
300,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
301,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
302,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
303,Private room,1.0,1,299.0,319.90830291970804,385.3544721407625,358.61450252951096
304,Private room,1.0,1,717.0,319.90830291970804,385.3544721407625,358.61450252951096
305,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
306,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
307,Entire home/apt,15.0,1,650.0,646.4595375722544,515.0064935064935,358.61450252951096
308,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
309,Entire home/apt,1.0,2,728.0,646.4595375722544,385.3544721407625,720.6256983240223
310,Private room,1.0,1,217.0,319.90830291970804,385.3544721407625,358.61450252951096
311,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
312,Private room,1.0,1,990.0,319.90830291970804,385.3544721407625,358.61450252951096
313,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
314,Private room,1.0,1,454.0,319.90830291970804,385.3544721407625,358.61450252951096
315,Shared room,0.0,1,700.0,232.1953125,234.73333333333332,358.61450252951096
316,Private room,15.0,1,450.0,319.90830291970804,515.0064935064935,358.61450252951096
317,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
318,Hotel room,4.0,1,125.0,418.93333333333334,283.5769230769231,358.61450252951096
319,Private room,1.0,1,370.0,319.90830291970804,385.3544721407625,358.61450252951096
320,Private room,,1,650.0,319.90830291970804,,358.61450252951096
321,Private room,1.0,1,555.0,319.90830291970804,385.3544721407625,358.61450252951096
322,Private room,1.0,1,774.0,319.90830291970804,385.3544721407625,358.61450252951096
323,Hotel room,1.0,1,555.0,418.93333333333334,385.3544721407625,358.61450252951096
324,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
325,Hotel room,1.0,1,684.0,418.93333333333334,385.3544721407625,358.61450252951096
326,Hotel room,1.0,1,555.0,418.93333333333334,385.3544721407625,358.61450252951096
327,Hotel room,1.0,1,555.0,418.93333333333334,385.3544721407625,358.61450252951096
328,Private room,1.0,1,436.0,319.90830291970804,385.3544721407625,358.61450252951096
329,Private room,1.0,1,360.0,319.90830291970804,385.3544721407625,358.61450252951096
330,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
331,Private room,15.0,1,325.0,319.90830291970804,515.0064935064935,358.61450252951096
332,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
333,Private room,1.0,1,217.0,319.90830291970804,385.3544721407625,358.61450252951096
334,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
335,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
336,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
337,Private room,1.0,1,217.0,319.90830291970804,385.3544721407625,358.61450252951096
338,Private room,1.0,1,130.0,319.90830291970804,385.3544721407625,358.61450252951096
339,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
340,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
341,Private room,1.0,1,558.0,319.90830291970804,385.3544721407625,358.61450252951096
342,Private room,1.0,1,358.0,319.90830291970804,385.3544721407625,358.61450252951096
