,Rt,Bt,bedrooms,price,average_price_for_Room_types,average_price_for_Bathrooms,average_price_for_Bedroom
0,Entire home/apt,1.0,2,930.0,646.4595375722544,385.3544721407625,720.6256983240223
1,Private room,1.0,1,351.0,319.90830291970804,385.3544721407625,358.61450252951096
2,Entire home/apt,1.0,1,709.0,646.4595375722544,385.3544721407625,358.61450252951096
3,Shared room,8.0,1,180.0,232.1953125,440.0,358.61450252951096
4,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
5,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
6,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
7,Entire home/apt,1.0,1,702.0,646.4595375722544,385.3544721407625,358.61450252951096
8,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
9,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
10,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
11,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
12,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
13,Private room,1.0,1,217.0,319.90830291970804,385.3544721407625,358.61450252951096
14,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
15,Private room,1.0,1,620.0,319.90830291970804,385.3544721407625,358.61450252951096
16,Entire home/apt,1.0,1,564.0,646.4595375722544,385.3544721407625,358.61450252951096
17,Private room,1.0,1,750.0,319.90830291970804,385.3544721407625,358.61450252951096
18,Entire home/apt,1.0,1,800.0,646.4595375722544,385.3544721407625,358.61450252951096
19,Entire home/apt,1.0,1,600.0,646.4595375722544,385.3544721407625,358.61450252951096
20,Private room,1.0,1,217.0,319.90830291970804,385.3544721407625,358.61450252951096
21,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
22,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
23,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
24,Private room,1.0,1,180.0,319.90830291970804,385.3544721407625,358.61450252951096
25,Entire home/apt,1.0,2,835.0,646.4595375722544,385.3544721407625,720.6256983240223
26,Private room,1.0,1,800.0,319.90830291970804,385.3544721407625,358.61450252951096
27,Private room,1.0,1,850.0,319.90830291970804,385.3544721407625,358.61450252951096
28,Private room,1.0,1,950.0,319.90830291970804,385.3544721407625,358.61450252951096
