amenities,price,minnights
"[""Self check-in"", ""Hangers"", ""Smoke alarm"", ""Heating"", ""Essentials"", ""Long term stays allowed"", ""Keypad"", ""Washer"", ""Shampoo"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""TV with standard cable""]",$324.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$590.00,60
"[""Kitchen"", ""Fire extinguisher"", ""Wifi"", ""Hangers"", ""Smoke alarm"", ""First aid kit"", ""Carbon monoxide alarm"", ""Pool"", ""Gym"", ""Elevator"", ""Washer"", ""Shampoo"", ""TV"", ""Long term stays allowed"", ""Hair dryer"", ""Air conditioning"", ""Free parking on premises"", ""Iron"", ""Heating""]","$13,250.00",60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$660.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$590.00,60
"[""Kitchen"", ""Hot water"", ""Fire extinguisher"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""TV"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Wifi""]",$300.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$520.00,60
"[""Kitchen"", ""Hot water"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""TV"", ""Dryer"", ""Fire extinguisher"", ""Air conditioning"", ""Wifi""]",$200.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$520.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Dedicated workspace"", ""Wifi"", ""Cooking basics"", ""Heating""]",$270.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$470.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$810.00,60
"[""Pets allowed"", ""Private entrance"", ""Hot water"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Host greets you"", ""Heating""]",$380.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$800.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$570.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$270.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$660.00,60
"[""Self check-in"", ""Hangers"", ""Free dryer \u2013 In building"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Free washer \u2013 In building"", ""Wifi"", ""Cooking basics"", ""Heating""]",$315.00,60
"[""Private entrance"", ""Hot water"", ""Shared hot tub"", ""Pool"", ""AC - split type ductless system"", ""Long term stays allowed"", ""Washer"", ""Kitchen"", ""HDTV"", ""Free dryer \u2013 In unit"", ""Shared gym in building""]","$1,200.00",60
"[""Self check-in"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$342.00,60
"[""Pets allowed"", ""Fire pit"", ""Refrigerator"", ""Outdoor furniture"", ""Long term stays allowed"", ""AC - split type ductless system"", ""Coffee maker"", ""Washer"", ""TV"", ""Elevator"", ""Kitchen"", ""Dedicated workspace"", ""Wifi""]","$1,400.00",60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$342.00,60
"[""Hot water"", ""Gym"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Free parking on premises"", ""Wifi"", ""Heating""]","$5,600.00",60
"[""Hot water"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Shampoo"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Heating""]",$607.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Dedicated workspace"", ""Wifi"", ""Cooking basics"", ""Heating""]",$342.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$252.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$225.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$252.00,60
"[""Kitchen"", ""Refrigerator"", ""Hot water"", ""Private entrance"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""Shampoo"", ""TV"", ""Dishes and silverware"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Iron"", ""Wifi""]",$600.00,60
"[""Air conditioning"", ""Long term stays allowed""]",$217.00,60
"[""Self check-in"", ""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$324.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$414.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$540.00,60
"[""Refrigerator"", ""Hot water"", ""Self check-in"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""TV"", ""Keypad"", ""Luggage dropoff allowed"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Microwave"", ""Room-darkening shades"", ""Wifi"", ""Bed linens""]",$390.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""Shampoo"", ""TV"", ""Keypad"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Cooking basics"", ""Wifi""]",$540.00,60
"[""Kitchen"", ""Fire extinguisher"", ""Smoke alarm"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""TV"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Wifi""]",$300.00,60
"[""Air conditioning"", ""Self check-in"", ""Mountain view"", ""Security cameras on property"", ""Garden view"", ""Smart lock"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Kitchen"", ""Harbor view"", ""Dedicated workspace"", ""Wifi"", ""Smoking allowed""]",$216.00,60
"[""Long term stays allowed"", ""Elevator"", ""Shampoo"", ""Hair dryer"", ""Dishes and silverware"", ""Dryer"", ""Kitchen"", ""Host greets you"", ""Microwave"", ""Cooking basics"", ""Mini fridge"", ""Freezer"", ""Washer"", ""TV"", ""Air conditioning"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Stove""]",$900.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$324.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$468.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$450.00,60
"[""Air conditioning"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]",$180.00,60
"[""Long term stays allowed"", ""Elevator"", ""Washer"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$180.00,60
"[""Kitchen"", ""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Keypad"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$450.00,60
"[""Kitchen"", ""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$396.00,60
"[""Kitchen"", ""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$414.00,60
"[""Long term stays allowed"", ""Safe"", ""Elevator"", ""Shampoo"", ""Body soap"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Room-darkening shades"", ""Bed linens"", ""Toaster"", ""Trash compactor"", ""Dishes and silverware"", ""Kitchen"", ""Microwave"", ""Bread maker"", ""Iron"", ""Smoking allowed"", ""Cooking basics"", ""Free dryer"", ""Free washer \u2013 In unit"", ""Shower gel"", ""HITACHI - 3 DOORS FRIDGE refrigerator"", ""Hot water kettle"", ""Hot water"", ""Barbecue utensils"", ""Freezer"", ""Essentials"", ""Laundromat nearby"", ""TV"", ""Air conditioning"", ""Dedicated workspace"", ""Hot tub"", ""Wifi"", ""Wine glasses"", ""Clothing storage: wardrobe"", ""Cleaning products"", ""Private entrance"", ""Bathtub"", ""Hangers"", ""Conditioner"", ""Ethernet connection"", ""Oven"", ""Dining table"", ""Drying rack for clothing"", ""Extra pillows and blankets"", ""Baking sheet"", ""Stove""]","$1,130.00",60
"[""Kitchen"", ""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$441.00,60
"[""Pets allowed"", ""Kitchen"", ""Refrigerator"", ""Hot water"", ""Ethernet connection"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Hot tub"", ""Iron"", ""Bed linens"", ""Cooking basics"", ""Wifi""]","$1,169.00",60
"[""Kitchen"", ""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$351.00,60
"[""Kitchen"", ""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$333.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$351.00,60
"[""Hot water"", ""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$477.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$414.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""TV"", ""Dryer \u2013 In building"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Washer \u2013\u00a0In building""]",$468.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$414.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$351.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$468.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""TV"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$414.00,60
"[""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Air conditioning"", ""Wifi""]",$180.00,60
"[""Self check-in"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""TV"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$378.00,60
"[""Hot tub"", ""Pets allowed"", ""Indoor fireplace"", ""Breakfast"", ""Kitchen"", ""Private entrance"", ""Hangers"", ""Gym"", ""Essentials"", ""Pool"", ""Long term stays allowed"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Dedicated workspace"", ""Wifi""]",$790.00,60
"[""Long term stays allowed"", ""Elevator"", ""Rice maker"", ""Hair dryer"", ""Room-darkening shades"", ""Bed linens"", ""Refrigerator"", ""Toaster"", ""Dishes and silverware"", ""Kitchen"", ""Microwave"", ""Window guards"", ""Sound system"", ""Iron"", ""Cooking basics"", ""Heating"", ""Hot water kettle"", ""Hot water"", ""Paid parking off premises"", ""Single level home"", ""Freezer"", ""Essentials"", ""Washer"", ""Air conditioning"", ""Dedicated workspace"", ""Clothing storage: dresser"", ""Portable fans"", ""Wine glasses"", ""City skyline view"", ""Cleaning products"", ""Pets allowed"", ""Piano"", ""Hangers"", ""Drying rack for clothing"", ""Extra pillows and blankets""]",$550.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$315.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Air conditioning"", ""Wifi"", ""Cooking basics"", ""Heating""]",$306.00,60
"[""Kitchen"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Heating""]",$477.00,60
"[""Kitchen"", ""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$594.00,60
"[""Kitchen"", ""Refrigerator"", ""Hot water"", ""Private entrance"", ""Hangers"", ""Smoke alarm"", ""Oven"", ""Long term stays allowed"", ""Essentials"", ""Washer"", ""Shampoo"", ""Dishes and silverware"", ""Fire extinguisher"", ""Air conditioning"", ""Iron"", ""Stove"", ""Cooking basics"", ""Wifi""]",$210.00,60
"[""Kitchen"", ""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Hair dryer"", ""Wifi"", ""Cooking basics""]",$558.00,60
"[""Kitchen"", ""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$570.00,60
"[""Self check-in"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Keypad"", ""Shampoo"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Cooking basics""]",$306.00,60
"[""Hot water"", ""Hangers"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Essentials"", ""Pool"", ""Elevator"", ""Washer"", ""Shampoo"", ""TV"", ""Gym"", ""Long term stays allowed"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$850.00,50
"[""Free washer \u2013 In unit"", ""Cleaning products"", ""Private entrance"", ""Refrigerator"", ""Hot water"", ""Hangers"", ""Security cameras on property"", ""Oven"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Shampoo"", ""Dishes and silverware"", ""Kitchen"", ""Air conditioning"", ""Dedicated workspace"", ""Iron"", ""Stove"", ""Cooking basics"", ""Wifi""]",$300.00,45
"[""Ceiling fan"", ""Clothing storage"", ""Long term stays allowed"", ""Elevator"", ""Shampoo"", ""Body soap"", ""Rice maker"", ""Hair dryer"", ""Room-darkening shades"", ""Bed linens"", ""Toaster"", ""Dishes and silverware"", ""Kitchen"", ""Microwave"", ""Window guards"", ""Iron"", ""Cooking basics"", ""Shower gel"", ""Free washer \u2013 In unit"", ""Pacific stove"", ""Hot water kettle"", ""Hot water"", ""Philco refrigerator"", ""Security cameras on property"", ""Freezer"", ""Essentials"", ""Air conditioning"", ""Dedicated workspace"", ""Portable fans"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Cleaning products"", ""Private entrance"", ""42\"" HDTV"", ""Hangers"", ""Conditioner"", ""Portable heater"", ""Dining table"", ""Drying rack for clothing""]",$780.00,45
"[""Long term stays allowed"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$180.00,39
"[""Long term stays allowed"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$150.00,39
"[""Air conditioning"", ""Hangers"", ""Wifi"", ""Long term stays allowed""]",$180.00,35
"[""Lock on bedroom door"", ""Hot water"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$130.00,32
"[""Kitchen"", ""Private entrance"", ""Hot water"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""Shampoo"", ""TV"", ""Dryer"", ""Hair dryer"", ""Air conditioning"", ""Wifi""]",$375.00,32
"[""Hot water"", ""Lock on bedroom door"", ""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Bed linens""]",$130.00,31
"[""Long term stays allowed"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Private entrance"", ""Hangers"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Essentials"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$180.00,31
"[""Lock on bedroom door"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Lock on bedroom door"", ""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$160.00,31
"[""Hot water"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$130.00,31
"[""Air conditioning"", ""Wifi"", ""Long term stays allowed""]",$130.00,31
"[""Hot water"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Washer"", ""Dryer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$130.00,31
"[""Hangers"", ""Long term stays allowed"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$130.00,31
"[""Lock on bedroom door"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$130.00,31
"[""Private entrance"", ""Hot water"", ""Lock on bedroom door"", ""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Essentials"", ""TV"", ""Fire extinguisher"", ""Air conditioning"", ""Iron"", ""Wifi""]",$130.00,31
"[""Lock on bedroom door"", ""Hot water"", ""Hangers"", ""Long term stays allowed"", ""Washer"", ""Kitchen"", ""Iron"", ""Wifi""]",$130.00,31
"[""Hot water"", ""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Long term stays allowed"", ""Elevator"", ""Washer"", ""TV"", ""Kitchen"", ""Wifi""]",$130.00,31
"[""Kitchen"", ""Private entrance"", ""Lock on bedroom door"", ""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Essentials"", ""Washer"", ""Fire extinguisher"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Hot water"", ""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$130.00,31
"[""Kitchen"", ""Private entrance"", ""Lock on bedroom door"", ""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""Fire extinguisher"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Hot water"", ""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$160.00,31
"[""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Lock on bedroom door"", ""Hot water"", ""Hangers"", ""Long term stays allowed"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Hangers"", ""Long term stays allowed"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$140.00,31
"[""Indoor fireplace"", ""Breakfast"", ""First aid kit"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Shampoo"", ""Hair dryer"", ""Gym"", ""Free parking on premises"", ""Kitchen"", ""Iron"", ""Heating"", ""Essentials"", ""Washer"", ""TV"", ""Pool"", ""Air conditioning"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher""]",$395.00,31
"[""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$130.00,31
"[""Long term stays allowed"", ""Elevator"", ""Washer"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$180.00,31
"[""Kitchen"", ""Private entrance"", ""Lock on bedroom door"", ""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""Fire extinguisher"", ""Wifi"", ""Heating""]",$130.00,31
"[""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$130.00,31
"[""Long term stays allowed"", ""Washer"", ""TV"", ""Air conditioning"", ""Wifi""]",$180.00,31
"[""Lock on bedroom door"", ""Hot water"", ""Hangers"", ""Long term stays allowed"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Lock on bedroom door"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$130.00,31
"[""Indoor fireplace"", ""Kitchen"", ""Lock on bedroom door"", ""Hangers"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Essentials"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Shampoo"", ""Extra pillows and blankets"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Wifi""]",$250.00,31
"[""Lock on bedroom door"", ""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Lock on bedroom door"", ""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$130.00,31
"[""Washer"", ""TV"", ""Wifi"", ""Long term stays allowed""]",$217.00,31
"[""Washer"", ""TV"", ""Wifi"", ""Long term stays allowed""]",$180.00,31
"[""Hangers"", ""Long term stays allowed"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Lock on bedroom door"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$130.00,31
"[""Hot water"", ""Lock on bedroom door"", ""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$130.00,31
"[""Kitchen"", ""Private entrance"", ""Lock on bedroom door"", ""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""Fire extinguisher"", ""Air conditioning"", ""Iron"", ""Wifi""]",$180.00,31
"[""Kitchen"", ""Private entrance"", ""Lock on bedroom door"", ""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""Fire extinguisher"", ""Air conditioning"", ""Iron"", ""Wifi""]",$180.00,31
